Article No.,EAN,Item name,Brand,Category,Short description,Colour,Composition,Size,Weight (g),RRP EUR,Stock on hand,Image URL,Notes
NT-TEE-GS-S,7090123456701,Crew Tee — Green Spring,NorthernTextiles,Tops / T-Shirts,"Lightweight crew-neck t-shirt in organic cotton. Slim fit, ribbed collar, side seams, pre-shrunk.",Forest Green,100% organic cotton,S,145,24.9,240,https://picsum.photos/seed/nt-tee-gs/64,use Spring 26 mood board
NT-TEE-GS-M,7090123456718,Crew Tee — Green Spring,NorthernTextiles,Tops / T-Shirts,"Lightweight crew-neck t-shirt in organic cotton. Slim fit, ribbed collar, side seams, pre-shrunk.",Forest Green,100% organic cotton,M,160,24.9,310,https://picsum.photos/seed/nt-tee-gs/64,
NT-TEE-GS-L,7090123456725,Crew Tee — Green Spring,NorthernTextiles,Tops / T-Shirts,"Lightweight crew-neck t-shirt in organic cotton. Slim fit, ribbed collar, side seams, pre-shrunk.",Forest Green,100% organic cotton,L,175,24.9,220,https://picsum.photos/seed/nt-tee-gs/64,
NT-TEE-AB-M,7090123456732,Crew Tee — Atlantic Blue,NorthernTextiles,Tops / T-Shirts,"Lightweight crew-neck t-shirt in organic cotton. Slim fit, ribbed collar, side seams, pre-shrunk.",Atlantic Blue,100% organic cotton,M,160,24.9,180,https://picsum.photos/seed/nt-tee-ab/64,
NT-TEE-CR-L,7090123456749,Crew Tee — Coral Red,NorthernTextiles,Tops / T-Shirts,"Lightweight crew-neck t-shirt in organic cotton. Slim fit, ribbed collar, side seams, pre-shrunk.",Coral Red,Organic cotton 100%,L,175,24.9,95,https://picsum.photos/seed/nt-tee-cr/64,
NT-TEE-JB-M,7090123456756,Crew Tee — Jet Black,NorthernTextiles,Tops / T-Shirts,,Jet Black,100% organic cotton,M,160,24.9,410,https://picsum.photos/seed/nt-tee-jb/64,EN copy pending — use placeholder
NT-SWT-CH-M,7090123456763,Crew Sweat — Charcoal,NorthernTextiles,Tops / Sweatshirts,"Brushed-back fleece crewneck. Mid-weight 320 g/m². Set-in sleeves, kangaroo pouch, ribbed cuffs.",Charcoal,"80% organic cotton, 20% recycled polyester",M,480,49.9,140,https://picsum.photos/seed/nt-swt-ch/64,
NT-SWT-CH-L,7090123456770,Crew Sweat — Charcoal,NorthernTextiles,Tops / Sweatshirts,"Brushed-back fleece crewneck. Mid-weight 320 g/m². Set-in sleeves, kangaroo pouch, ribbed cuffs.",Charcoal,"80% organic cotton, 20% recycled polyester",L,510,49.9,120,https://picsum.photos/seed/nt-swt-ch/64,
NT-SWT-NV-M,7090123456787,Crew Sweat — Navy,NorthernTextiles,Tops / Sweatshirts,"Brushed-back fleece crewneck. Mid-weight 320 g/m². Set-in sleeves, kangaroo pouch, ribbed cuffs.",Navy,"80% organic cotton, 20% recycled polyester",M,480,49.9,88,https://picsum.photos/seed/nt-swt-nv/64,
NT-JOG-OA-S,7090123456794,Tapered Jogger — Oatmeal,NorthernTextiles,Bottoms / Joggers,"Tapered-leg jogger in mid-weight fleece. Elasticated waist with drawcord, two side pockets, one back pocket.",Oatmeal,"85% organic cotton, 15% recycled polyester",S,410,59.9,70,https://picsum.photos/seed/nt-jog-oa/64,
NT-JOG-OA-M,7090123456800,Tapered Jogger — Oatmeal,NorthernTextiles,Bottoms / Joggers,"Tapered-leg jogger in mid-weight fleece. Elasticated waist with drawcord, two side pockets, one back pocket.",Oatmeal,"85% organic cotton, 15% recycled polyester",M,440,59.9,110,https://picsum.photos/seed/nt-jog-oa/64,
NT-JOG-OL-L,7090123456817,Tapered Jogger — Olive,NorthernTextiles,Bottoms / Joggers,"Tapered-leg jogger in mid-weight fleece. Elasticated waist with drawcord, two side pockets, one back pocket.",Olive,"85% organic cotton, 15% recycled polyester",L,470,59.9,60,https://picsum.photos/seed/nt-jog-ol/64,new colour — confirm lead time with planner
NT-POL-WH-M,7090123456824,Piqué Polo — Off-White,NorthernTextiles,Tops / Polos,"Classic short-sleeve piqué polo. Two-button placket, side vents, combed cotton, mercerised finish.",Off-White,100% combed cotton (mercerised),M,220,39.9,200,https://picsum.photos/seed/nt-pol-wh/64,
NT-POL-WH-L,7090123456831,Piqué Polo — Off-White,NorthernTextiles,Tops / Polos,"Classic short-sleeve piqué polo. Two-button placket, side vents, combed cotton, mercerised finish.",Off-White,100% combed cotton (mercerised),L,240,39.9,165,https://picsum.photos/seed/nt-pol-wh/64,
NT-POL-NV-M,7090123456848,Piqué Polo — Navy,NorthernTextiles,Tops / Polos,"Classic short-sleeve piqué polo. Two-button placket, side vents, combed cotton, mercerised finish.",Navy,100% combed cotton (mercerised),M,220,39.9,145,https://picsum.photos/seed/nt-pol-nv/64,
NT-HOO-CH-M,7090123456855,Pullover Hoodie — Charcoal,NorthernTextiles,Tops / Hoodies,"Heavyweight pullover hoodie 400 g/m². Brushed-back fleece, double-layer hood with flat drawcord.",Charcoal,"70% organic cotton, 30% recycled polyester",M,620,79.9,200,,limited drop — 200 units only
